[2018-07-31 18:56:36] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/catalog/product/save/id/1/type/simple/store/0/set/4/key/1ca76d09058f3ebf1f85aeece22db99e950bd8767030c7dfefd8cc3647088a40/back/edit","invalidateInfo":{"tags":["catalog_category_3","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 18:56:36] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/catalog/product/save/id/1/type/simple/store/0/set/4/key/1ca76d09058f3ebf1f85aeece22db99e950bd8767030c7dfefd8cc3647088a40/back/edit","invalidateInfo":{"tags":["catalog_category_1","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 18:59:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/rest/default/V1/guest-carts/0cbdb18aa665df1d81daca92b3ce11d3/payment-information","invalidateInfo":{"tags":["catalog_product_1","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:01:56] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/customer/account/createpost/","invalidateInfo":{"tags":["wishlist_1","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:01:56] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/customer/account/createpost/","invalidateInfo":{"tags":["wishlist_1","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:02:46] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/checkout/cart/add/uenc/aHR0cDovLzEyNy4wLjAuMS9tMi9zaGlydC5odG1s/product/1/","invalidateInfo":{"identifier":"notification_update_customer_session_2"},"is_exception":false} []
[2018-07-31 19:03:50] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/rest/default/V1/carts/mine/payment-information","invalidateInfo":{"tags":["catalog_product_1","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:18:15] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/catalog/product/save/type/simple/store/0/set/4/key/6d653d941792ff8a60c5a2f737fe3b967c0485c15e3fe50bd3428ab8947992eb/back/edit","invalidateInfo":{"tags":["catalog_category_product_2","catalog_category_product_3"],"mode":"matchingAnyTag"},"is_exception":false} []
[2018-07-31 19:18:16] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/catalog/product/save/type/simple/store/0/set/4/key/6d653d941792ff8a60c5a2f737fe3b967c0485c15e3fe50bd3428ab8947992eb/back/edit","invalidateInfo":{"tags":["catalog_product_2","catalog_category_product_2","catalog_category_product_3"],"mode":"matchingAnyTag"},"is_exception":false} []
[2018-07-31 19:18:16] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/catalog/product/save/type/simple/store/0/set/4/key/6d653d941792ff8a60c5a2f737fe3b967c0485c15e3fe50bd3428ab8947992eb/back/edit","invalidateInfo":{"tags":["catalog_product_2","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:18:16] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/catalog/product/save/type/simple/store/0/set/4/key/6d653d941792ff8a60c5a2f737fe3b967c0485c15e3fe50bd3428ab8947992eb/back/edit","invalidateInfo":{"tags":["catalog_category_product_2","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:18:16] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/catalog/product/save/type/simple/store/0/set/4/key/6d653d941792ff8a60c5a2f737fe3b967c0485c15e3fe50bd3428ab8947992eb/back/edit","invalidateInfo":{"tags":["catalog_category_product_3","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:18:17] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/catalog/product/save/type/simple/store/0/set/4/key/6d653d941792ff8a60c5a2f737fe3b967c0485c15e3fe50bd3428ab8947992eb/back/edit","invalidateInfo":{"tags":["catalog_product_2","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:18:17] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/catalog/product/save/type/simple/store/0/set/4/key/6d653d941792ff8a60c5a2f737fe3b967c0485c15e3fe50bd3428ab8947992eb/back/edit","invalidateInfo":{"tags":["catalog_product_2","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:18:17] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/catalog/product/save/type/simple/store/0/set/4/key/6d653d941792ff8a60c5a2f737fe3b967c0485c15e3fe50bd3428ab8947992eb/back/edit","invalidateInfo":{"tags":["catalog_product_2","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:18:18] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/catalog/product/save/type/simple/store/0/set/4/key/6d653d941792ff8a60c5a2f737fe3b967c0485c15e3fe50bd3428ab8947992eb/back/edit","invalidateInfo":{"tags":["catalog_product_2","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:18:19] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/catalog/product/save/type/simple/store/0/set/4/key/6d653d941792ff8a60c5a2f737fe3b967c0485c15e3fe50bd3428ab8947992eb/back/edit","invalidateInfo":{"tags":["catalog_product_2","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:18:19] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/catalog/product/save/type/simple/store/0/set/4/key/6d653d941792ff8a60c5a2f737fe3b967c0485c15e3fe50bd3428ab8947992eb/back/edit","invalidateInfo":{"tags":["catalog_category_2","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:18:19] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/catalog/product/save/type/simple/store/0/set/4/key/6d653d941792ff8a60c5a2f737fe3b967c0485c15e3fe50bd3428ab8947992eb/back/edit","invalidateInfo":{"tags":["catalog_category_3","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:18:19] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/catalog/product/save/type/simple/store/0/set/4/key/6d653d941792ff8a60c5a2f737fe3b967c0485c15e3fe50bd3428ab8947992eb/back/edit","invalidateInfo":{"tags":["catalog_category_1","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:18:19] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/catalog/product/save/type/simple/store/0/set/4/key/6d653d941792ff8a60c5a2f737fe3b967c0485c15e3fe50bd3428ab8947992eb/back/edit","invalidateInfo":{"tags":["catalog_product_2","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:18:19] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/catalog/product/save/type/simple/store/0/set/4/key/6d653d941792ff8a60c5a2f737fe3b967c0485c15e3fe50bd3428ab8947992eb/back/edit","invalidateInfo":{"tags":["catalog_category_product_2","FPC"],"mode":"matchingTag"},"is_exception":false} []
